SHANK2	SHANK2
DOM3Z	DOM3Z
CBFA2T3	CBFA2T3
ZNF688	ZNF688
TOMM5	TOMM5
RFK	RFK
CPS1	CPS1
POC1A	POC1A
LUC7L3	LUC7L3
RPL5	RPL5
ZNF131	ZNF131
PET117	PET117
LOC100996366	LOC100996366
SACM1L	SACM1L
CYP46A1	CYP46A1
TMEM69	TMEM69
TECPR1	TECPR1
SPIRE1	SPIRE1
RPL10A	RPL10A
GTF2H1	GTF2H1
BTAF1	BTAF1
CUEDC2	CUEDC2
HRASLS	HRASLS
GLTPD1	GLTPD1
UXS1	UXS1
DHRS13	DHRS13
NEGR1	NEGR1
NPR1	NPR1
ZBTB33	ZBTB33
CCDC84	CCDC84
RPRML	RPRML
WDR17	WDR17
LRFN4	LRFN4
LAIR2	LAIR2
GORASP2	GORASP2
XPNPEP1	XPNPEP1
CACNA1S	CACNA1S
RNF157-AS1	RNF157-AS1
STK11	STK11
PSPH	PSPH
KLF5	KLF5
SMAD5	SMAD5
FAM123A	AMER2
P2RY14	P2RY14
MCM5	MCM5
TCHP	TCHP
CMTM7	CMTM7
PITPNA-AS1	PITPNA-AS1
KANSL1-AS1	KANSL1-AS1
STXBP5L	STXBP5L
LOC100505933	LOC100505933
LOC100996496	LOC100996496
FEN1	FEN1
CARM1	CARM1
NLK	NLK
RETNLB	RETNLB
TMEM129	TMEM129
VAPB	VAPB
PPM1E	PPM1E
SNW1	SNW1
ZNF320	ZNF320
LOC100505687	LOC100505687
LINC00599	LINC00599
RASA1	RASA1
TAC1	TAC1
HSDL2	HSDL2
HUWE1	HUWE1
SAFB2	SAFB2
LYRM5	LYRM5
SFT2D1	SFT2D1
ARPC5L	ARPC5L
BRSK2	BRSK2
KIAA1211L	KIAA1211L
SRCIN1	SRCIN1
TEX19	TEX19
MFI2-AS1	MFI2-AS1
FAM181B	FAM181B
RAB12	RAB12
FAM81B	FAM81B
FOSB	FOSB
BUB3	BUB3
RBM22	RBM22
PGAP3	PGAP3
BSPRY	BSPRY
PCDHB9	PCDHB9
SIX3	SIX3
POLR2B	POLR2B
ARHGEF18	ARHGEF18
USMG5	USMG5
HOXB8	HOXB8
IRX1	IRX1
ASB5	ASB5
VSIG1	VSIG1
MAGEE1	MAGEE1
SLC4A11	SLC4A11
CUL2	CUL2
GLT8D1	GLT8D1
ZNF462	ZNF462
HNRNPU	HNRNPU
TSPAN31	TSPAN31
MUC1	MUC1
ZBTB46	ZBTB46
EPS8L2	EPS8L2
SUCO	SUCO
CYP2U1	CYP2U1
NACC1	NACC1
DFNA5	DFNA5
GBP3	GBP3
SMAD4	SMAD4
APOA2	APOA2
GNA12	GNA12
SLC25A45	SLC25A45
LOC100288911	LOC100288911
LETM1	LETM1
JPH1	JPH1
NFATC2IP	NFATC2IP
MYL10	MYL10
BPNT1	BPNT1
LOC284454	LOC284454
SERPINB1	SERPINB1
TCF12	TCF12
SIK3	SIK3
PRELID1	PRELID1
ASAP1	ASAP1
POC1B	POC1B
C9orf24	C9orf24
TTC18	TTC18
DLX6	DLX6
MORC2	MORC2
ATPIF1	ATPIF1
DUOXA2	DUOXA2
U2AF2	U2AF2
IMPDH1	IMPDH1
ENAH	ENAH
MRPL33	MRPL33
YWHAB	YWHAB
C10orf2	C10orf2
CANT1	CANT1
ORAI3	ORAI3
FAM118B	FAM118B
CCDC54	CCDC54
C14orf2	C14orf2
MAP4K1	MAP4K1
CDK5RAP2	CDK5RAP2
MYO10	MYO10
STYK1	STYK1
HEY1	HEY1
FLJ25694	FLJ25694
S100A12	S100A12
LRRTM2	LRRTM2
HMGN3	HMGN3
TAF2	TAF2
RALYL	RALYL
SUSD5	SUSD5
REPIN1	REPIN1
CELF5	CELF5
KRTDAP	KRTDAP
LOC100996872	LOC100996872
TMEM174	TMEM174
RPA1	RPA1
PHF20	PHF20
LUC7L	LUC7L
FAM210A	FAM210A
PSME4	PSME4
LMAN2L	LMAN2L
ZNF260	ZNF260
ARMC10	ARMC10
DDAH1	DDAH1
PRPH	PRPH
TTC25	TTC25
SLC30A2	SLC30A2
CPM	CPM
LBR	LBR
TRAPPC3	TRAPPC3
COL6A1	COL6A1
NINJ2	NINJ2
UBXN6	UBXN6
CPSF3	CPSF3
PCED1A	PCED1A
ZNF827	ZNF827
C17orf96	C17orf96
EPHB1	EPHB1
H1FNT	H1FNT
